21799|1262332980|1268808852
20981|1262655569|11059,15200,15440
20983|1262644254|14241,11133
21550|1262636027|21725,153
7091|1262599974|13294,776
7121|1262593129|3411,11746,10376,9820,7507,958
18433|1262627963|13954,8427,9699,15468
7864|1262595626|583,15408,236,18217,226,7134,19128
1158|1262664584|9248,12615,1541,21081,2800,6401,9640,16042,18853,6199,13603,2200,18242,21183,9310,12110,10015,956,639,8133,6163,18264
19204|1262659427|11961,17249,9839,10510,10593,2473,3616,21535,2809,14222,3368,12342,5450,15204,17465,448,21372,8568,15790,9641,17620,18184,7320,20952
16423|1262652480|20560
16667|1262516084|9249,7745
17452|1262632298|17297,14933,17024,11090,13626,5937,3103,7671,2957,19025,2843,14815,14561,4177,312,18774,8184
17449|1262618794|12913
16624|1262648579|9145,19049,12268,20625
4718|1262643940|19292,15896,5380,19054,2509,16069,3021,19293
12934|1262609625|20560
13025|1262650963|18678,14217,5083,1662,3916,9626,16658,18297,5824,6876,14307,15468,123,2023,6519,16441,10000,17858,6547
2865|1262602607|15413,552,581,17470,1628
18120|1262649751|4949
10918|1262653192|9569,21429,21762,20667,6312,19989,5271
8523|1262596328|1526
11690|1262593605|13294,19816,1619,11378,18659,1337,18029,12890,16699,10026,18882
18782|1262640753|13201
4212|1262613990|2611
9705|1262612495|1511,865,1741,17013,903,15972,1481,15939,18912
4506|1262628078|20519,7492,18615,13999,7996,20750,17538
19672|1262633520|12556,4396,932,15491,15999,14445
19611|1262616802|7475,21455
9014|1262641833|3085,3734,19711
12682|1262624924|82,4026
15540|1262659506|11514
15571|1262661570|15700,6504,19857,13742,12950,14761,19817,1378,15479,8,1102,20048,20608,13718,7778,13673,8448,9577,6489
16084|1262654507|18304,7690
153|1262632691|21550
10199|1262603683|3539,16359,4863,14278,19659,8802,15661,15932,15912,16860,21721,18825,4128,16678,21636,20201,18762
9478|1262620453|21234
9699|1262652317|18433
851|1262611603|10588,889,7026,12935,20886
2959|1262652033|8
11705|1262619013|3923,18861,17770
781|1262640096|9396,3983,10119,3129,5112,13376
2926|1262625398|4137,18947,8311,6548
13284|1262667073|7918
13063|1262650980|17247
8311|1262644595|2926
19828|1262607962|4084,109,1172,2916,434,21691,12516,12164,3034,5680,17704,12134,5236
9072|1262604076|367,271,4305,12187,10458,3966,340,11381,16487
18897|1262593833|15428,3323
14679|1262646249|5364,4284
7634|1262645802|15645
15481|1262671050|11902
15479|1262659212|8,15571
2356|1262514646|6184
3034|1262650194|12516,19828,434
3065|1262396100|161,855,4399,8428,13264
14145|1262478409|11699,11900,15421,10527,690,14141,5086
14141|1262364155|11699,14145
14494|1262653909|7778
3760|1262401436|17687
14890|1262335365|17796
14889|1262334615|5327,20913,19584,21479,4389,21531,16967,274,21010,15183,680,16433,15366,7719,20892,16444,11850,14875,9261,609,7044,7469,15913,8155,8487,9725,306,16565,14233,5722,6911,11867,12132,6144,13424,19384,9172
21784|1262435671|340,7023
20347|1262374538|3474,8035,7304,15257,11495,16466,8499,18278,312
20349|1262438695|14360,19987,18265,16828,1435,2944,5513,2347,14316,7220
